step,type,amount,nameOrig,nameDest,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
21,PAYMENT,20564.01,C8096887,M696750,168750.27,148186.26,175928.0,196492.01,0,0
22,PAYMENT,698.16,C1247595,M810219,417455.46,416757.3,94061.37,94759.53,0,0
23,CASH_OUT,1255.21,C3608513,C9143903,112111.08,110855.87,13723.67,14978.88,0,0
24,CASH_IN,63.47,C5667265,C7462506,15515.0,15451.53,49456.66,49520.13,0,0
25,DEBIT,369.16,C8175395,C4539704,119272.47,118903.31,94712.21,95081.37,0,0
26,PAYMENT,1369.01,C6707197,M550770,349732.49,348363.48,153379.62,154748.63,0,0
27,PAYMENT,109.73,C5641923,M188914,359178.61,359068.88,155558.38,155668.11,0,0
28,PAYMENT,2324.82,C8574680,M442027,289342.37,287017.55,185777.43,188102.25,0,0
29,CASH_OUT,329.88,C7897151,C9997381,470735.3,470405.42,39665.96,39995.84,0,0
30,CASH_OUT,611.93,C2262382,C9517169,50950.65,50338.72,154496.18,155108.11,0,0
31,DEBIT,329.17,C1852264,C2197935,398113.61,397784.44,113186.51,113515.68,0,0
32,PAYMENT,44558.42,C2217071,M400850,330760.67,286202.25,13791.35,58349.77,0,0
33,CASH_OUT,1067.43,C2719583,C1247595,411165.46,410098.03,21107.77,22175.2,0,0
34,CASH_IN,132.23,C3484601,C4185957,353654.32,353522.09,87097.43,87229.66,0,0
35,CASH_OUT,5682.18,C4524499,C1971823,307956.18,302274.0,183923.53,189605.71,0,0
36,CASH_OUT,95.42,C1981186,C7728339,412867.3,412771.88,118494.92,118590.34,0,0
37,PAYMENT,1665.24,C4337174,M451470,467310.94,465645.7,55785.65,57450.89,0,0
38,TRANSFER,21.77,C9580255,C4652414,284924.82,284903.05,133637.69,133659.46,0,0
39,PAYMENT,76.99,C4946066,M197923,162507.08,162430.09,97509.99,97586.98,0,0
40,TRANSFER,1625.75,C9197443,C6543670,139829.24,138203.49,119231.0,120856.75,0,0
41,DEBIT,4802.7,C7199635,C3341057,258313.63,253510.93,38211.28,43013.98,0,0
42,PAYMENT,1544.93,C5673212,M708158,277588.11,276043.18,48064.79,49609.72,0,0
43,TRANSFER,870.18,C6507321,C2149597,224087.27,223217.09,3448.65,4318.83,0,0
44,PAYMENT,600.52,C4078418,M871711,121652.58,121052.06,132792.0,133392.52,0,0
45,TRANSFER,56.99,C5098412,C6304573,171878.7,171821.71,199326.29,199383.28,0,0
46,TRANSFER,259.9,C4594297,C4818418,226872.63,226612.73,61324.6,61584.5,0,0
47,PAYMENT,436.47,C9546409,M301158,157773.97,157337.5,148576.21,149012.68,0,0
48,CASH_IN,9083.77,C8896868,C9548432,95770.49,86686.72,147720.93,156804.7,0,0
49,PAYMENT,2180.34,C6752576,M397571,262318.43,260138.09,56599.74,58780.08,0,0
50,PAYMENT,32.26,C3564251,M282480,113741.58,113709.32,35888.31,35920.57,0,0
51,PAYMENT,2096.8,C1156287,M831076,137155.66,135058.86,194858.99,196955.79,0,0
52,TRANSFER,507.67,C6866294,C5107245,318934.83,318427.16,150558.44,151066.11,0,0
53,PAYMENT,283.2,C2719583,M563246,142169.66,141886.46,95742.84,96026.04,0,0
54,PAYMENT,3726.98,C3608513,M810219,470531.8,466804.82,95545.84,99272.82,0,0
55,DEBIT,8621.37,C3351868,C2149597,37041.09,28419.72,125889.14,134510.51,0,0
56,PAYMENT,7062.54,C5491946,M763686,281419.8,274357.26,60767.1,67829.64,0,0
57,CASH_IN,204.7,C5479144,C5781295,382221.72,382017.02,121263.53,121468.23,0,0
58,DEBIT,590.86,C3653446,C6539837,261286.27,260695.41,90102.89,90693.75,0,0
59,TRANSFER,2127.13,C6752576,C7818496,152690.12,150562.99,124205.46,126332.59,0,0
60,CASH_OUT,7716.3,C1641849,C4905582,473795.1,466078.8,41557.58,49273.88,0,0
61,PAYMENT,420.59,C3592974,M528231,78528.55,78107.96,34762.71,35183.3,0,0
62,PAYMENT,756.48,C1419610,M418635,225251.85,224495.37,118762.24,119518.72,0,0
63,PAYMENT,119.98,C5418934,M282480,353477.91,353357.93,140597.51,140717.49,0,0
64,TRANSFER,100.24,C7417985,C9398441,461955.52,461855.28,157565.61,157665.85,0,0
65,CASH_OUT,5569.45,C3592974,C8082668,212569.48,207000.03,108912.48,114481.93,0,0
66,CASH_OUT,16522.53,C6159230,C4842788,35704.92,19182.39,33184.56,49707.09,0,0
67,PAYMENT,949.54,C8321474,M749342,284603.52,283653.98,57722.12,58671.66,0,0
68,PAYMENT,8160.54,C1649691,M745414,349866.84,341706.3,188535.25,196695.79,0,0
69,TRANSFER,2260.34,C2140194,C1983738,40220.93,37960.59,7972.16,10232.5,0,0
70,TRANSFER,301.8,C1352896,C8106422,125183.95,124882.15,18265.38,18567.18,0,0
71,CASH_IN,2259.26,C5437001,C4533779,475393.14,473133.88,199914.48,202173.74,0,0
72,CASH_OUT,23767.47,C5017343,C2936571,20115.84,0.0,151253.77,175021.24,0,0
73,TRANSFER,1020.81,C4524499,C7358113,458036.39,457015.58,36297.83,37318.64,0,0
74,CASH_OUT,25066.49,C3484601,C2149597,484527.62,459461.13,94002.08,119068.57,0,0
75,TRANSFER,5.82,C6672134,C1415846,52299.94,52294.12,32164.97,32170.79,0,0
76,TRANSFER,5674.88,C4946066,C8973915,331291.77,325616.89,80090.45,85765.33,0,0
77,CASH_OUT,1305.18,C4698379,C8096887,44029.9,42724.72,50479.77,51784.95,0,0
78,PAYMENT,603.04,C8235969,M100425,432455.29,431852.25,164985.44,165588.48,0,0
79,PAYMENT,1317.54,C4576135,M550770,206623.79,205306.25,37516.51,38834.05,0,0
80,TRANSFER,20.59,C4188992,C3011363,312704.37,312683.78,151998.11,152018.7,0,0
81,PAYMENT,706.74,C6855396,M831076,463836.38,463129.64,87623.22,88329.96,0,0
82,CASH_OUT,2239.99,C3871230,C9478454,486573.41,484333.42,121774.33,124014.32,0,0
83,PAYMENT,21073.85,C9375710,M745414,275419.5,254345.65,110450.28,131524.13,0,0
84,PAYMENT,388.95,C6960453,M550770,473530.37,473141.42,129541.94,129930.89,0,0
85,PAYMENT,217.68,C2164686,M282480,254436.01,254218.33,54684.98,54902.66,0,0
86,DEBIT,402.01,C1959074,C9517169,228393.24,227991.23,28928.39,29330.4,0,0
87,PAYMENT,6841.79,C5213115,M736130,373146.27,366304.48,27301.67,34143.46,0,0
88,PAYMENT,2116.46,C8235969,M796101,427206.19,425089.73,67975.05,70091.51,0,0
89,CASH_OUT,380.12,C6159230,C1419610,141419.49,141039.37,59711.17,60091.29,0,0
90,CASH_OUT,3061.12,C7817881,C4117625,432630.3,429569.18,89309.48,92370.6,0,0
91,TRANSFER,1331.62,C1987737,C2154126,381436.34,380104.72,75442.01,76773.63,0,0
92,CASH_IN,7610.54,C2525206,C6866294,119402.77,111792.23,76594.17,84204.71,0,0
93,DEBIT,269.32,C5191056,C3678638,159088.16,158818.84,94595.25,94864.57,0,0
94,CASH_IN,569.45,C2651177,C7754864,494207.0,493637.55,158478.73,159048.18,0,0
95,CASH_OUT,500.59,C2110460,C4946066,482412.22,481911.63,25249.25,25749.84,0,0
96,CASH_IN,58.73,C2191066,C2694522,437095.19,437036.46,88061.24,88119.97,0,0
97,TRANSFER,1982.75,C9164991,C2458591,361221.91,359239.16,81995.72,83978.47,0,0
98,CASH_OUT,1848.46,C6279418,C9996414,234745.3,232896.84,193840.73,195689.19,0,0
99,PAYMENT,1107.91,C4731818,M100425,324918.33,323810.42,170353.06,171460.97,0,0
100,DEBIT,685.96,C1156287,C1908841,477069.8,476383.84,125359.84,126045.8,0,0
101,DEBIT,64.67,C2344047,C4576135,17949.55,17884.88,13684.15,13748.82,0,0
102,CASH_OUT,472.82,C8973915,C8612220,373383.18,372910.36,86794.29,87267.11,0,0
103,PAYMENT,552.56,C7194416,M277934,436289.62,435737.06,88735.71,89288.27,0,0
104,CASH_OUT,220.4,C9478454,C8090293,162187.33,161966.93,11223.85,11444.25,0,0
105,TRANSFER,794.27,C9147706,C6292423,122098.72,121304.45,82410.35,83204.62,0,0
106,CASH_OUT,2460.46,C4679591,C5137722,87534.68,85074.22,121898.36,124358.82,0,0
107,TRANSFER,47684.98,C3670896,C6007072,248833.63,201148.65,116631.43,164316.41,0,0
108,PAYMENT,1554.88,C8210624,M810219,229785.25,228230.37,133368.14,134923.02,0,0
109,CASH_IN,1835.55,C1981186,C8973915,338805.44,336969.89,31595.12,33430.67,0,0
110,TRANSFER,944.93,C9626108,C4533779,149577.12,148632.19,192405.81,193350.74,0,0
111,CASH_OUT,23.63,C9164991,C6229731,99608.5,99584.87,76938.65,76962.28,0,0
112,TRANSFER,1040.0,C9517485,C2651177,285961.35,284921.35,114962.39,116002.39,0,0
113,CASH_IN,1237.02,C8099076,C2571945,488972.24,487735.22,131645.96,132882.98,0,0
114,PAYMENT,151218.97,C9874152,M958179,342899.75,191680.78,148933.77,300152.74,0,0
115,PAYMENT,746.41,C5641923,M188914,248363.64,247617.23,180831.06,181577.47,0,0
116,PAYMENT,2004.39,C1054447,M808446,400965.98,398961.59,43800.91,45805.3,0,0
117,PAYMENT,1023.08,C3710343,M934692,377788.66,376765.58,153494.15,154517.23,0,0
118,CASH_OUT,105.92,C6440561,C2262382,48581.96,48476.04,125491.62,125597.54,0,0
119,PAYMENT,10782.13,C3762152,M631756,289786.9,279004.77,146471.95,157254.08,0,0
120,PAYMENT,4933.81,C8099076,M696750,373740.43,368806.62,35128.01,40061.82,0,0
121,PAYMENT,5335.11,C2229110,M887625,485744.79,480409.68,106170.47,111505.58,0,0
122,CASH_IN,177.9,C3396987,C6438436,457024.48,456846.58,188837.56,189015.46,0,0
123,CASH_IN,18134.81,C8099076,C6262632,435198.48,417063.67,160846.51,178981.32,0,0
124,TRANSFER,66.44,C9996414,C4842788,377075.75,377009.31,45122.94,45189.38,0,0
125,CASH_OUT,3546.49,C6573147,C9997381,483634.87,480088.38,160917.53,164464.02,0,0
126,TRANSFER,87632.85,C4191175,C2458591,132229.29,44596.44,24717.75,112350.6,0,0
127,TRANSFER,151.25,C8321474,C4009172,131080.7,130929.45,76205.1,76356.35,0,0
128,CASH_OUT,353.33,C6944126,C7120868,337418.28,337064.95,94295.37,94648.7,0,0
129,CASH_OUT,1338.5,C8351517,C4694634,457627.95,456289.45,44273.44,45611.94,0,0
130,PAYMENT,400.63,C4652414,M805477,350538.58,350137.95,129847.89,130248.52,0,0
131,PAYMENT,49.34,C8090293,M631756,152182.29,152132.95,98524.92,98574.26,0,0
132,PAYMENT,1257.81,C2677407,M831076,194322.92,193065.11,74202.3,75460.11,0,0
133,CASH_IN,131.03,C8722606,C2229110,209563.38,209432.35,148453.8,148584.83,0,0
134,PAYMENT,2827.6,C8434500,M596171,49510.82,46683.22,97869.41,100697.01,0,0
135,TRANSFER,174.37,C2161193,C4335942,345140.33,344965.96,43453.94,43628.31,0,0
136,TRANSFER,24339.82,C3997281,C7829332,49677.31,25337.49,137136.05,161475.87,0,0
137,TRANSFER,228.95,C7117837,C5076817,30275.04,30046.09,55176.29,55405.24,0,0
138,CASH_IN,575.87,C8096887,C1768805,331384.37,330808.5,128340.89,128916.76,0,0
139,CASH_OUT,5580.5,C1499914,C5661907,393397.3,387816.8,48713.78,54294.28,0,0
140,PAYMENT,93.53,C9874152,M540869,34305.08,34211.55,153031.48,153125.01,0,0
141,PAYMENT,1728.35,C5476583,M749342,434847.71,433119.36,65711.91,67440.26,0,0
142,PAYMENT,14977.22,C9196204,M854717,138637.42,123660.2,196805.63,211782.85,0,0
143,CASH_IN,44.04,C2229110,C3710343,399256.91,399212.87,21985.27,22029.31,0,0
144,DEBIT,1586.47,C7366205,C2458591,179121.14,177534.67,157686.31,159272.78,0,0
145,CASH_OUT,1844.13,C8078673,C8187926,132683.75,130839.62,25351.71,27195.84,0,0
146,TRANSFER,5237.74,C6960453,C6799667,31779.02,26541.28,89655.04,94892.78,0,0
147,TRANSFER,92.4,C5428914,C7120868,226002.71,225910.31,44309.95,44402.35,0,0
148,CASH_OUT,78.19,C6555772,C7817881,260725.61,260647.42,91608.5,91686.69,0,0
149,CASH_IN,3114.68,C7374122,C9910817,423649.27,420534.59,85254.72,88369.4,0,0
150,PAYMENT,1986.18,C6507321,M805477,221781.16,219794.98,179853.35,181839.53,0,0
151,PAYMENT,1809.83,C7730428,M799287,63095.79,61285.96,124863.5,126673.33,0,0
152,CASH_OUT,2192.72,C6507321,C4860684,190452.2,188259.48,119478.37,121671.09,0,0
153,PAYMENT,281.45,C2375453,M808446,215099.66,214818.21,158619.22,158900.67,0,0
154,PAYMENT,1745.0,C2724590,M596171,438853.11,437108.11,110267.05,112012.05,0,0
155,DEBIT,1970.7,C9147706,C5785687,444045.51,442074.81,82762.71,84733.41,0,0
156,DEBIT,262.77,C8526486,C8434500,364806.25,364543.48,62509.67,62772.44,0,0
157,PAYMENT,45777.55,C1009594,M674553,476796.26,431018.71,137364.21,183141.76,0,0
158,TRANSFER,2828.96,C1768805,C7067228,46615.05,43786.09,19312.89,22141.85,0,0
159,CASH_OUT,101.23,C8755439,C7199635,29990.49,29889.26,191324.92,191426.15,0,0
160,TRANSFER,4076.96,C1415846,C3871230,205404.32,201327.36,174721.47,178798.43,0,0
161,CASH_IN,156.12,C2564689,C9546409,25723.04,25566.92,57525.88,57682.0,0,0
162,PAYMENT,5293.15,C5663623,M563246,253706.27,248413.12,30946.04,36239.19,0,0
163,TRANSFER,11127.68,C7120868,C9143903,422686.71,411559.03,73512.21,84639.89,0,0
164,CASH_OUT,212.43,C3253031,C3653446,403610.69,403398.26,169031.03,169243.46,0,0
165,CASH_IN,7530.77,C8175395,C3194789,337488.36,329957.59,111347.95,118878.72,0,0
166,CASH_OUT,2503.79,C6933742,C4348276,133723.86,131220.07,36083.21,38587.0,0,0
167,CASH_OUT,5676.67,C9683481,C1527021,175511.71,169835.04,36281.11,41957.78,0,0
168,PAYMENT,48707.39,C6933742,M100425,34792.71,0.0,148193.81,196901.2,0,0
169,CASH_IN,671.31,C1768805,C6262632,265241.34,264570.03,75238.88,75910.19,0,0
170,TRANSFER,242.87,C4567281,C8231838,155818.68,155575.81,64876.58,65119.45,0,0
171,CASH_IN,185.11,C9196204,C7067228,441671.09,441485.98,31115.98,31301.09,0,0
172,CASH_OUT,214.51,C5661907,C6573147,40790.76,40576.25,88622.59,88837.1,0,0
173,TRANSFER,939.92,C5641923,C7358113,207091.87,206151.95,43113.79,44053.71,0,0
174,TRANSFER,2169.61,C9626108,C9147706,55444.89,53275.28,135643.58,137813.19,0,0
175,CASH_OUT,1907.18,C6033115,C3970445,154209.7,152302.52,44103.69,46010.87,0,0
176,CASH_IN,5735.13,C6647119,C5108603,102211.56,96476.43,189064.82,194799.95,0,0
177,CASH_OUT,1125.52,C1028374,C1009594,144723.57,143598.05,23996.87,25122.39,0,0
178,TRANSFER,20071.74,C9147706,C8187926,64592.85,44521.11,106516.47,126588.21,0,0
179,PAYMENT,645.93,C3646552,M451470,334024.09,333378.16,70833.43,71479.36,0,0
180,TRANSFER,252796.05,C2818692,C1109031,218109.8,0.0,15572.52,268368.57,0,0
181,PAYMENT,3832.74,C7818496,M563246,202211.44,198378.7,128028.33,131861.07,0,0
182,PAYMENT,197.49,C4078418,M414910,483099.85,482902.36,34374.64,34572.13,0,0
183,CASH_IN,128.79,C4185957,C8896868,459884.88,459756.09,17625.98,17754.77,0,0
184,DEBIT,2878.27,C9517169,C7728339,294435.64,291557.37,104792.51,107670.78,0,0
185,TRANSFER,701.4,C9683481,C6799667,169756.64,169055.24,66613.72,67315.12,0,0
186,PAYMENT,4573.35,C6307805,M636004,57013.32,52439.97,101990.41,106563.76,0,0
187,CASH_IN,2825.6,C5672073,C9143903,363689.55,360863.95,163789.72,166615.32,0,0
188,DEBIT,947.99,C3997281,C7377459,73222.11,72274.12,39454.36,40402.35,0,0
189,CASH_OUT,201.63,C1744682,C5273534,327754.51,327552.88,35429.23,35630.86,0,0
190,CASH_OUT,53.0,C2140194,C4652414,377222.91,377169.91,151975.43,152028.43,0,0
191,TRANSFER,448.98,C9874152,C6171716,317649.16,317200.18,124904.36,125353.34,0,0
192,DEBIT,6080.23,C2262382,C5159166,75478.7,69398.47,13657.25,19737.48,0,0
193,TRANSFER,1682.75,C7693979,C2321324,295709.88,294027.13,70388.44,72071.19,0,0
194,PAYMENT,90.79,C5977931,M320392,18803.62,18712.83,73747.52,73838.31,0,0
195,PAYMENT,1550.55,C7117837,M958179,488684.27,487133.72,18059.3,19609.85,0,0
196,CASH_OUT,2369.98,C2016911,C5977931,290164.7,287794.72,190846.3,193216.28,0,0
197,CASH_OUT,187.22,C1109031,C8633773,454524.98,454337.76,114331.34,114518.56,0,0
198,PAYMENT,1491.37,C8106422,M923927,250683.65,249192.28,191544.47,193035.84,0,0
199,TRANSFER,1232.03,C2188789,C5674183,42164.57,40932.54,129225.42,130457.45,0,0
200,PAYMENT,111.5,C4240180,M320392,495493.01,495381.51,104813.71,104925.21,0,0
201,CASH_OUT,2243.01,C4194548,C6944126,458968.39,456725.38,77483.31,79726.32,0,0
202,CASH_OUT,3366.3,C5163555,C5213115,26182.76,22816.46,126177.31,129543.61,0,0
203,PAYMENT,9567.26,C1120642,M442027,278981.61,269414.35,77312.84,86880.1,0,0
204,PAYMENT,9023.65,C6933742,M805477,301350.41,292326.76,30074.67,39098.32,0,0
205,PAYMENT,69.73,C4971793,M410016,458373.23,458303.5,62046.35,62116.08,0,0
206,CASH_OUT,168.06,C4971793,C5171761,64475.83,64307.77,141766.8,141934.86,0,0
207,PAYMENT,3071.96,C3646552,M974224,321746.63,318674.67,65695.31,68767.27,0,0
208,PAYMENT,3064.29,C4818418,M451470,473554.31,470490.02,199432.82,202497.11,0,0
209,CASH_IN,3072.03,C4823498,C7117837,335228.02,332155.99,101697.7,104769.73,0,0
210,PAYMENT,2435013.8,C9683481,M233470,475584.66,0.0,68346.47,2503360.27,0,0
211,CASH_OUT,3435.03,C2839607,C3653446,499988.31,496553.28,30989.03,34424.06,0,0
212,PAYMENT,10626.77,C2694522,M736130,385437.36,374810.59,167023.97,177650.74,0,0
213,DEBIT,7390.89,C8536477,C3592974,168382.19,160991.3,153261.52,160652.41,0,0
214,PAYMENT,4035.08,C7897151,M410016,81123.61,77088.53,166269.01,170304.09,0,0
215,CASH_OUT,583.74,C3396987,C9546409,218836.7,218252.96,82171.72,82755.46,0,0
216,CASH_OUT,5003.73,C9517485,C1036161,305297.71,300293.98,150478.23,155481.96,0,0
217,CASH_OUT,233.77,C9398441,C1156287,119584.25,119350.48,193119.33,193353.1,0,0
218,CASH_OUT,682.91,C3564251,C2626229,339153.41,338470.5,114083.88,114766.79,0,0
219,TRANSFER,415.41,C4305700,C9937326,389062.02,388646.61,100581.34,100996.75,0,0
220,TRANSFER,1291.74,C7637601,C2065818,400629.61,399337.87,27679.71,28971.45,0,0
221,PAYMENT,112343.58,C1701771,M923927,437058.47,324714.89,110908.15,223251.73,0,0
222,PAYMENT,26.19,C6271130,M197923,62338.89,62312.7,16775.03,16801.22,0,0
223,PAYMENT,4326.53,C8633773,M346277,256676.37,252349.84,166209.34,170535.87,0,0
224,PAYMENT,43.58,C5924115,M749342,225564.0,225520.42,69917.02,69960.6,0,0
225,PAYMENT,426.72,C4612365,M100425,251003.56,250576.84,47155.61,47582.33,0,0
226,CASH_IN,9680.81,C8106470,C8294150,14093.77,4412.96,186165.18,195845.99,0,0
227,DEBIT,1247.08,C7003042,C4841005,395690.32,394443.24,27519.92,28767.0,0,0
228,PAYMENT,127.04,C1959074,M871711,415555.24,415428.2,151768.23,151895.27,0,0
229,TRANSFER,262.27,C5394880,C5614226,452928.74,452666.47,3800.78,4063.05,0,0
230,PAYMENT,4269.26,C5491946,M587575,470112.97,465843.71,121776.02,126045.28,0,0
231,TRANSFER,254.49,C6539837,C8973915,118820.11,118565.62,24369.67,24624.16,0,0
232,PAYMENT,1690.73,C3138181,M796101,311405.28,309714.55,12561.43,14252.16,0,0
233,DEBIT,1201.28,C3011363,C9196204,268026.89,266825.61,126390.99,127592.27,0,0
234,CASH_OUT,297.91,C5682940,C1538552,145635.99,145338.08,312.87,610.78,0,0
235,TRANSFER,79848.64,C2737893,C2642635,93656.96,13808.32,133642.98,213491.62,0,0
236,TRANSFER,3896.52,C8935169,C6770619,476701.84,472805.32,108816.39,112712.91,0,0
237,CASH_OUT,19.1,C8033426,C5098412,10167.15,10148.05,174666.29,174685.39,0,0
238,PAYMENT,1592.26,C6692553,M674553,126825.13,125232.87,3248.45,4840.71,0,0
239,CASH_OUT,291.9,C9626108,C6007072,366470.51,366178.61,125651.39,125943.29,0,0
240,CASH_OUT,6032.2,C3995870,C4188992,166259.3,160227.1,8867.14,14899.34,0,0
241,TRANSFER,224.74,C6171716,C8187926,415191.83,414967.09,136936.51,137161.25,0,0
242,CASH_IN,871.77,C9910817,C1604451,91139.0,90267.23,26970.52,27842.29,0,0
243,CASH_OUT,3010.84,C3597059,C4698379,146721.29,143710.45,8761.26,11772.1,0,0
244,PAYMENT,6195.08,C1109031,M696750,466685.49,460490.41,103076.72,109271.8,0,0
245,CASH_IN,99.43,C9487336,C1841248,126656.88,126557.45,150658.18,150757.61,0,0
246,PAYMENT,561.72,C8930103,M958179,390420.78,389859.06,173159.66,173721.38,0,0
247,PAYMENT,424.16,C9961380,M763686,184009.59,183585.43,177897.3,178321.46,0,0
248,CASH_OUT,296.88,C7754864,C1527021,486861.79,486564.91,99240.65,99537.53,0,0
249,TRANSFER,37455.49,C5004485,C6159230,400574.04,363118.55,145416.26,182871.75,0,0
250,PAYMENT,2465.04,C2548511,M749342,90228.24,87763.2,58753.28,61218.32,0,0
251,PAYMENT,88.08,C4694634,M932291,147819.97,147731.89,89183.15,89271.23,0,0
252,CASH_OUT,6875.53,C5443951,C8896868,221954.19,215078.66,89425.93,96301.46,0,0
253,CASH_OUT,76443.9,C4594297,C3194789,499075.3,422631.4,54911.07,131354.97,0,0
254,CASH_IN,8646.68,C2714803,C9996414,335591.94,326945.26,81242.05,89888.73,0,0
255,TRANSFER,52.52,C8321474,C5163555,79993.36,79940.84,6228.12,6280.64,0,0
256,DEBIT,416.35,C5163555,C1983738,17399.48,16983.13,13446.67,13863.02,0,0
257,CASH_OUT,13819.31,C2582524,C7829332,191427.2,177607.89,113448.93,127268.24,0,0
258,CASH_OUT,266.31,C5163555,C8633773,474411.76,474145.45,74402.68,74668.99,0,0
259,CASH_OUT,2664.15,C3253031,C6440561,264729.94,262065.79,79606.81,82270.96,0,0
260,CASH_OUT,5162.97,C7273233,C6960453,12956.67,7793.7,37209.61,42372.58,0,0
261,TRANSFER,171.77,C8351517,C5479144,130888.34,130716.57,52057.95,52229.72,0,0
262,TRANSFER,973.55,C6596150,C3154051,346990.32,346016.77,199725.77,200699.32,0,0
263,PAYMENT,1.68,C4684531,M197923,37026.02,37024.34,34531.27,34532.95,0,0
264,CASH_OUT,141.35,C4226067,C3670896,483780.62,483639.27,197314.93,197456.28,0,0
265,CASH_OUT,661.73,C7685149,C7022674,274998.57,274336.84,58072.46,58734.19,0,0
266,PAYMENT,90.42,C4567281,M277934,354781.9,354691.48,140043.85,140134.27,0,0
267,PAYMENT,28704.89,C7829332,M736130,112120.81,83415.92,197026.51,225731.4,0,0
268,DEBIT,62.79,C9517485,C2140194,13142.01,13079.22,110804.29,110867.08,0,0
269,TRANSFER,454.82,C2154126,C8755439,305974.18,305519.36,17243.1,17697.92,0,0
270,PAYMENT,1424.36,C5682940,M790855,239332.55,237908.19,82159.02,83583.38,0,0
271,TRANSFER,19585.54,C5437001,C8707870,62663.39,43077.85,63405.53,82991.07,0,0
272,PAYMENT,62.07,C1981186,M934692,258680.01,258617.94,25666.92,25728.99,0,0
273,DEBIT,11229.81,C2154126,C3138181,293893.0,282663.19,153556.33,164786.14,0,0
274,PAYMENT,1119.31,C1666754,M805477,434105.81,432986.5,166278.16,167397.47,0,0
275,TRANSFER,154.0,C7693979,C3396987,80983.48,80829.48,186947.57,187101.57,0,0
276,PAYMENT,2763.37,C5004485,M346277,142024.16,139260.79,15771.98,18535.35,0,0
277,PAYMENT,1632.91,C2154126,M884475,62585.15,60952.24,60564.92,62197.83,0,0
278,TRANSFER,330.16,C1666754,C1701771,84317.95,83987.79,188321.4,188651.56,0,0
279,PAYMENT,1260.93,C7817881,M324082,360316.38,359055.45,121027.78,122288.71,0,0
280,DEBIT,507.44,C6075395,C1109031,412618.13,412110.69,5674.7,6182.14,0,0
281,PAYMENT,1376.14,C1701771,M640490,288385.62,287009.48,130226.0,131602.14,0,0
282,CASH_OUT,4122.69,C2642635,C3710895,319495.6,315372.91,99607.61,103730.3,0,0
283,CASH_OUT,26161.23,C3770370,C1701771,478325.08,452163.85,96588.96,122750.19,0,0
284,DEBIT,92.24,C2813543,C4078418,148716.94,148624.7,14594.61,14686.85,0,0
285,PAYMENT,78125.11,C3762152,M418635,242125.57,164000.46,40804.6,118929.71,0,0
286,CASH_OUT,22.11,C3030113,C5682940,159658.2,159636.09,197604.67,197626.78,0,0
287,PAYMENT,809.51,C8526486,M831076,380332.5,379522.99,102996.03,103805.54,0,0
288,PAYMENT,3556.86,C6007072,M550770,61260.95,57704.09,89919.2,93476.06,0,0
289,PAYMENT,1923.66,C5661907,M282480,472692.45,470768.79,172832.77,174756.43,0,0
290,TRANSFER,315.64,C9375710,C4694634,466875.77,466560.13,144225.69,144541.33,0,0
291,PAYMENT,723.25,C9375710,M708158,497984.71,497261.46,93363.02,94086.27,0,0
292,DEBIT,409.12,C7774229,C2571945,45024.55,44615.43,78648.44,79057.56,0,0
293,TRANSFER,337.4,C6007072,C5476583,291672.06,291334.66,9731.63,10069.03,0,0
